Pais,Sigla,Nome Instituicao,Estado,Regiao,Campus,Cidade,Latitude,Longitude,Artes Visuais,Musica,Teatro,Danca,Total,Integrado
Brazil,IFSUL,IF Sul-rio-grandense,Rio Grande do Sul,Sul,Pelotas,Pelotas,-31.757402,-52.337164,6,1,,,7,S
Brazil,IFSUL,IF Sul-rio-grandense,Rio Grande do Sul,Sul,CAVG,Pelotas,-31.719415,-52.310983,,1,,,1,S
Brazil,IFSUL,IF Sul-rio-grandense,Rio Grande do Sul,Sul,Bage,Bagé,-31.3314264,-54.1062808,1,,,,1,S
Brazil,IFSUL,IF Sul-rio-grandense,Rio Grande do Sul,Sul,Camaqua,Camaquã,-30.8524752,-51.8075619,1,,,,1,S
Brazil,IFSUL,IF Sul-rio-grandense,Rio Grande do Sul,Sul,Charqueadas,Charqueadas,-29.955012,-51.6249195,1,,,,1,S
Brazil,IFSUL,IF Sul-rio-grandense,Rio Grande do Sul,Sul,Gravatai,Gravatai,-29.9440222,-50.9930938,1,,,,1,S
Brazil,IFSUL,IF Sul-rio-grandense,Rio Grande do Sul,Sul,Jaguarão,Jaguarão,-32.5662724,-53.3765705,0,0,0,0,0,S
Brazil,IFSUL,IF Sul-rio-grandense,Rio Grande do Sul,Sul,Lajeado,Lajeado,-29.4671522,-51.9624046,1,,,,1,S
Brazil,IFSUL,IF Sul-rio-grandense,Rio Grande do Sul,Sul,Novo Hamburgo,Novo Hamburgo,-29.6905705,-51.1429035,1,,,,1,S
Brazil,IFSUL,IF Sul-rio-grandense,Rio Grande do Sul,Sul,Passo Fundo,Passo Fundo,-28.2616138,-52.4089048,0,0,0,0,0,S
Brazil,IFSUL,IF Sul-rio-grandense,Rio Grande do Sul,Sul,Santana do Livramento,Santana do Livramento,-30.8894097,-55.5317694,1,,,,1,S
Brazil,IFSUL,IF Sul-rio-grandense,Rio Grande do Sul,Sul,Sapiranga,Sapiranga,-29.6392382,-51.0068586,1,,,,1,S
Brazil,IFSUL,IF Sul-rio-grandense,Rio Grande do Sul,Sul,Sapucaia do Sul,Sapucaia do Sul,-29.8197019,-51.1608722,1,,,,1,S
Brazil,IFSUL,IF Sul-rio-grandense,Rio Grande do Sul,Sul,Venancio Aires,Venancio Aires,-29.614306,-52.193159,,1,1,,2,S
Brazil,IFRS,IF Rio Grande do Sul,Rio Grande do Sul,Sul,Alvorada,Alvorada,-29.9981184,-51.0772509,1,1,,,2,S
Brazil,IFRS,IF Rio Grande do Sul,Rio Grande do Sul,Sul,Bento Goncalves,Bento Goncalves,-29.1654014,-51.5197627,1,,,,1,S
Brazil,IFRS,IF Rio Grande do Sul,Rio Grande do Sul,Sul,Canoas,Canoas,-29.9216045,-51.1799525,1,,,,1,S
Brazil,IFRS,IF Rio Grande do Sul,Rio Grande do Sul,Sul,Caxias do Sul,Caxias do Sul,-29.1684796,-51.1793861,,1,,,1,S
Brazil,IFRS,IF Rio Grande do Sul,Rio Grande do Sul,Sul,Erechim,Erechim,-27.6350143,-52.2737288,0,0,0,0,0,N
Brazil,IFRS,IF Rio Grande do Sul,Rio Grande do Sul,Sul,Farroupilha,Farroupilha,-29.22647,-51.3468188,1,,,,1,S
Brazil,IFRS,IF Rio Grande do Sul,Rio Grande do Sul,Sul,Feliz,Feliz,-29.4508908,-51.307713,1,,,,1,S
Brazil,IFRS,IF Rio Grande do Sul,Rio Grande do Sul,Sul,Ibiruba,Ibiruba,-28.630161,-53.096124,1,,,,1,S
Brazil,IFRS,IF Rio Grande do Sul,Rio Grande do Sul,Sul,Osorio,Osorio,-29.8890328,-50.2730224,1,1,,,2,S
